,gospodarz,gosc,predykcja
1,DetroitPistons,DetroitPistons,234.892857142852
2,ClevelandCavaliers,DetroitPistons,203.166666666667
3,NewOrleansPelicans,DetroitPistons,204.499999999998
4,WashingtonWizards,DetroitPistons,211.249999999998
5,PhiladelphiaErs,DetroitPistons,226.666666666666
6,ChicagoBulls,DetroitPistons,220.499999999998
7,UtahJazz,DetroitPistons,186.999999999999
8,CharlotteHornets,DetroitPistons,193.5
9,IndianaPacers,DetroitPistons,198.499999999998
10,DenverNuggets,DetroitPistons,203.000000000001
11,NewYorkKnicks,DetroitPistons,204.799999999999
12,SanAntonioSpurs,DetroitPistons,179.999999999999
13,DallasMavericks,DetroitPistons,189
14,LosAngelesClippers,DetroitPistons,191.666666666665
15,MinnesotaTimberwolves,DetroitPistons,194.499999999999
16,MemphisGrizzlies,DetroitPistons,198.499999999999
17,AtlantaHawks,DetroitPistons,203.999999999993
18,BrooklynNets,DetroitPistons,194.749999999999
19,GoldenStateWarriors,DetroitPistons,219.999999999999
20,LosAngelesLakers,DetroitPistons,195.666666666665
21,PortlandTrailBlazers,DetroitPistons,235.999999999999
22,MiamiHeat,DetroitPistons,201.249999999999
23,OklahomaCityThunder,DetroitPistons,191.999999999999
24,TorontoRaptors,DetroitPistons,206.999999999999
25,PhoenixSuns,DetroitPistons,199.499999999999
26,SacramentoKings,DetroitPistons,193.499999999999
27,HoustonRockets,DetroitPistons,229.999999999998
28,MilwaukeeBucks,DetroitPistons,198.499999999998
29,OrlandoMagic,DetroitPistons,211.999999999999
30,BostonCeltics,DetroitPistons,211.750000000001
31,DetroitPistons,ClevelandCavaliers,202.666666666668
32,ClevelandCavaliers,ClevelandCavaliers,273.009523809524
33,NewOrleansPelicans,ClevelandCavaliers,230.666666666665
34,WashingtonWizards,ClevelandCavaliers,234.799999999999
35,PhiladelphiaErs,ClevelandCavaliers,202.499999999999
36,ChicagoBulls,ClevelandCavaliers,201.749999999992
37,UtahJazz,ClevelandCavaliers,185.499999999999
38,CharlotteHornets,ClevelandCavaliers,208.75
39,IndianaPacers,ClevelandCavaliers,222.499999999998
40,DenverNuggets,ClevelandCavaliers,209.500000000001
41,NewYorkKnicks,ClevelandCavaliers,202.249999999999
42,SanAntonioSpurs,ClevelandCavaliers,185.499999999999
43,DallasMavericks,ClevelandCavaliers,210.999999999999
44,LosAngelesClippers,ClevelandCavaliers,194.999999999999
