,gospodarz,gosc,daty,daty_fac,predykcja
1,DetroitPistons,DetroitPistons,747,380,241.625749089354
2,ClevelandCavaliers,DetroitPistons,747,380,210.329988406252
3,NewOrleansPelicans,DetroitPistons,747,380,211.171055553688
4,WashingtonWizards,DetroitPistons,747,380,217.048071184612
5,PhiladelphiaErs,DetroitPistons,747,380,234.256780764466
6,ChicagoBulls,DetroitPistons,747,380,227.218342207013
7,UtahJazz,DetroitPistons,747,380,193.983874952608
8,CharlotteHornets,DetroitPistons,747,380,200.793056916657
9,IndianaPacers,DetroitPistons,747,380,205.247441685982
10,DenverNuggets,DetroitPistons,747,380,210.449466616117
11,NewYorkKnicks,DetroitPistons,747,380,210.369640274705
12,SanAntonioSpurs,DetroitPistons,747,380,187.173021565907
13,DallasMavericks,DetroitPistons,747,380,195.882026776216
14,LosAngelesClippers,DetroitPistons,747,380,197.069469928614
15,MinnesotaTimberwolves,DetroitPistons,747,380,202.21863679658
16,MemphisGrizzlies,DetroitPistons,747,380,204.938259721936
17,AtlantaHawks,DetroitPistons,747,380,211.634975794537
18,BrooklynNets,DetroitPistons,747,380,201.933933870521
19,GoldenStateWarriors,DetroitPistons,747,380,225.102108645933
20,LosAngelesLakers,DetroitPistons,747,380,200.715426267823
21,PortlandTrailBlazers,DetroitPistons,747,380,243.587689141219
22,MiamiHeat,DetroitPistons,747,380,208.088377557762
23,OklahomaCityThunder,DetroitPistons,747,380,199.762286015034
24,TorontoRaptors,DetroitPistons,747,380,213.338836502124
25,PhoenixSuns,DetroitPistons,747,380,207.538731065241
26,SacramentoKings,DetroitPistons,747,380,201.051314792507
27,HoustonRockets,DetroitPistons,747,380,236.409160242966
28,MilwaukeeBucks,DetroitPistons,747,380,205.200155032657
29,OrlandoMagic,DetroitPistons,747,380,217.005110382703
30,BostonCeltics,DetroitPistons,747,380,218.868460042843
31,DetroitPistons,ClevelandCavaliers,747,380,210.145232761753
32,ClevelandCavaliers,ClevelandCavaliers,747,380,277.309941809859
33,NewOrleansPelicans,ClevelandCavaliers,747,380,235.599028351946
34,WashingtonWizards,ClevelandCavaliers,747,380,240.483128242684
35,PhiladelphiaErs,ClevelandCavaliers,747,380,210.265923449905
36,ChicagoBulls,ClevelandCavaliers,747,380,208.664763690049
37,UtahJazz,ClevelandCavaliers,747,380,192.149230944462
38,CharlotteHornets,ClevelandCavaliers,747,380,215.708412908511
39,IndianaPacers,ClevelandCavaliers,747,380,228.033750917309
40,DenverNuggets,ClevelandCavaliers,747,380,216.185605293175
41,NewYorkKnicks,ClevelandCavaliers,747,380,209.332085694129
42,SanAntonioSpurs,ClevelandCavaliers,747,380,192.032833028585
43,DallasMavericks,ClevelandCavaliers,747,380,215.641366895588
44,LosAngelesClippers,ClevelandCavaliers,747,380,201.16908954147
45,MinnesotaTimberwolves,ClevelandCavaliers,747,380,230.874751906474
46,MemphisGrizzlies,ClevelandCavaliers,747,380,187.849584451944
47,AtlantaHawks,ClevelandCavaliers,747,380,249.812424531053
48,BrooklynNets,ClevelandCavaliers,747,380,208.526246575386
49,GoldenStateWarriors,ClevelandCavaliers,747,380,201.687571305393
50,LosAngelesLakers,ClevelandCavaliers,747,380,242.683639280955
51,PortlandTrailBlazers,ClevelandCavaliers,747,380,191.716670784361
52,MiamiHeat,ClevelandCavaliers,747,380,222.224634070647
53,OklahomaCityThunder,ClevelandCavaliers,747,380,223.591031986524
54,TorontoRaptors,ClevelandCavaliers,747,380,210.261303008925
55,PhoenixSuns,ClevelandCavaliers,747,380,224.223945654104
56,SacramentoKings,ClevelandCavaliers,747,380,236.163780683947
57,HoustonRockets,ClevelandCavaliers,747,380,213.437670542803
58,MilwaukeeBucks,ClevelandCavaliers,747,380,217.057725116499
59,OrlandoMagic,ClevelandCavaliers,747,380,213.860398560033
60,BostonCeltics,ClevelandCavaliers,747,380,196.698647964804
61,DetroitPistons,NewOrleansPelicans,747,380,223.149230944464
62,ClevelandCavaliers,NewOrleansPelicans,747,380,184.476600082866
63,NewOrleansPelicans,NewOrleansPelicans,747,380,242.809193018156
64,WashingtonWizards,NewOrleansPelicans,747,380,203.61285659575
65,PhiladelphiaErs,NewOrleansPelicans,747,380,207.14195607472
66,ChicagoBulls,NewOrleansPelicans,747,380,199.569928872976
67,UtahJazz,NewOrleansPelicans,747,380,198.135664211086
68,CharlotteHornets,NewOrleansPelicans,747,380,247.249113108636
69,IndianaPacers,NewOrleansPelicans,747,380,203.712804918197
70,DenverNuggets,NewOrleansPelicans,747,380,234.876784076968
71,NewYorkKnicks,NewOrleansPelicans,747,380,201.52949018328
72,SanAntonioSpurs,NewOrleansPelicans,747,380,204.335723129
73,DallasMavericks,NewOrleansPelicans,747,380,196.321743970232
74,LosAngelesClippers,NewOrleansPelicans,747,380,229.699433536978
75,MinnesotaTimberwolves,NewOrleansPelicans,747,380,240.255470089654
76,MemphisGrizzlies,NewOrleansPelicans,747,380,203.05984865951
77,AtlantaHawks,NewOrleansPelicans,747,380,212.907783409879
78,BrooklynNets,NewOrleansPelicans,747,380,202.489183810131
79,GoldenStateWarriors,NewOrleansPelicans,747,380,228.067535954645
80,LosAngelesLakers,NewOrleansPelicans,747,380,209.962149580792
81,PortlandTrailBlazers,NewOrleansPelicans,747,380,212.707194230746
82,MiamiHeat,NewOrleansPelicans,747,380,213.765628860338
83,OklahomaCityThunder,NewOrleansPelicans,747,380,219.654834391552
84,TorontoRaptors,NewOrleansPelicans,747,380,216.603878265108
85,PhoenixSuns,NewOrleansPelicans,747,380,228.101255874594
86,SacramentoKings,NewOrleansPelicans,747,380,217.027839232643
87,HoustonRockets,NewOrleansPelicans,747,380,219.392939080828
88,MilwaukeeBucks,NewOrleansPelicans,747,380,213.607547738226
89,OrlandoMagic,NewOrleansPelicans,747,380,189.609513750446
90,BostonCeltics,NewOrleansPelicans,747,380,219.503733549618
91,DetroitPistons,WashingtonWizards,747,380,215.10558172601
92,ClevelandCavaliers,WashingtonWizards,747,380,212.575564358316
93,NewOrleansPelicans,WashingtonWizards,747,380,213.694846175134
94,WashingtonWizards,WashingtonWizards,747,380,237.056919800932
95,PhiladelphiaErs,WashingtonWizards,747,380,214.98652938137
96,ChicagoBulls,WashingtonWizards,747,380,215.234857958716
97,UtahJazz,WashingtonWizards,747,380,201.089065974306
98,CharlotteHornets,WashingtonWizards,747,380,206.64293908083
99,IndianaPacers,WashingtonWizards,747,380,220.463623569511
100,DenverNuggets,WashingtonWizards,747,380,225.929740335656
101,NewYorkKnicks,WashingtonWizards,747,380,222.621049354217
102,SanAntonioSpurs,WashingtonWizards,747,380,218.080414271476
103,DallasMavericks,WashingtonWizards,747,380,228.876717918692
104,LosAngelesClippers,WashingtonWizards,747,380,245.936293709716
105,MinnesotaTimberwolves,WashingtonWizards,747,380,218.785487457347
106,MemphisGrizzlies,WashingtonWizards,747,380,218.835034712458
107,AtlantaHawks,WashingtonWizards,747,380,217.284195684898
108,BrooklynNets,WashingtonWizards,747,380,230.110202166989
109,GoldenStateWarriors,WashingtonWizards,747,380,233.039977663558
110,LosAngelesLakers,WashingtonWizards,747,380,209.750293548678
111,PortlandTrailBlazers,WashingtonWizards,747,380,243.256387978378
112,MiamiHeat,WashingtonWizards,747,380,219.360202166989
113,OklahomaCityThunder,WashingtonWizards,747,380,233.753045133073
114,TorontoRaptors,WashingtonWizards,747,380,201.827170663583
115,PhoenixSuns,WashingtonWizards,747,380,237.610890583532
116,SacramentoKings,WashingtonWizards,747,380,229.470309260121
117,HoustonRockets,WashingtonWizards,747,380,225.527524171061
118,MilwaukeeBucks,WashingtonWizards,747,380,219.583068700238
119,OrlandoMagic,WashingtonWizards,747,380,192.295022928873
120,BostonCeltics,WashingtonWizards,747,380,221.575695842154
121,DetroitPistons,PhiladelphiaErs,747,380,200.978370118397
122,ClevelandCavaliers,PhiladelphiaErs,747,380,218.364789528834
123,NewOrleansPelicans,PhiladelphiaErs,747,380,218.063898519773
124,WashingtonWizards,PhiladelphiaErs,747,380,221.051708619484
125,PhiladelphiaErs,PhiladelphiaErs,747,380,242.140220479805
126,ChicagoBulls,PhiladelphiaErs,747,380,227.536470463455
127,UtahJazz,PhiladelphiaErs,747,380,194.888712466825
128,CharlotteHornets,PhiladelphiaErs,747,380,206.629372347455
129,IndianaPacers,PhiladelphiaErs,747,380,207.153229127173
130,DenverNuggets,PhiladelphiaErs,747,380,233.163780683949
131,NewYorkKnicks,PhiladelphiaErs,747,380,222.725617076756
132,SanAntonioSpurs,PhiladelphiaErs,747,380,188.862168179207
133,DallasMavericks,PhiladelphiaErs,747,380,225.172235993732
134,LosAngelesClippers,PhiladelphiaErs,747,380,227.236529381369
135,MinnesotaTimberwolves,PhiladelphiaErs,747,380,203.356859321684
