"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1270","AtlantaHawks","DetroitPistons",94,106,0,2015-10-27,200,1,1,107,1,0,112,0,0,204,202,0,"Oct",2
"1271","ChicagoBulls","ClevelandCavaliers",97,95,0,2015-10-27,192,1,0,120,1,0,101,0,0,186,194,0,"Oct",2
"1272","GoldenStateWarriors","NewOrleansPelicans",111,95,0,2015-10-27,206,1,0,109,0,1,98,0,0,207,207,0,"Oct",2
"1273","OrlandoMagic","WashingtonWizards",87,88,0,2015-10-28,175,0,0,88,1,1,125,0,0,189,219,0,"Oct",10.5
"1274","BostonCeltics","PhiladelphiaErs",112,95,0,2015-10-28,207,0,1,93,0,1,101,0,0,194,206,0,"Oct",10.5
"1275","BrooklynNets","ChicagoBulls",100,115,0,2015-10-28,215,0,0,97,1,1,97,0,0,204,192,0,"Oct",10.5
"1276","DetroitPistons","UtahJazz",92,87,0,2015-10-28,179,1,0,106,0,0,91,0,0,200,208,0,"Oct",10.5
"1277","MiamiHeat","CharlotteHornets",104,94,0,2015-10-28,198,1,0,105,0,0,87,0,0,206,179,0,"Oct",10.5
"1278","TorontoRaptors","IndianaPacers",106,99,0,2015-10-28,205,0,0,94,0,0,83,0,0,219,178,0,"Oct",10.5
"1279","HoustonRockets","DenverNuggets",85,105,0,2015-10-28,190,1,1,103,0,0,126,0,0,197,259,0,"Oct",10.5
"1280","MemphisGrizzlies","ClevelandCavaliers",76,106,0,2015-10-28,182,1,1,99,0,0,95,0,0,192,192,0,"Oct",10.5
"1281","MilwaukeeBucks","NewYorkKnicks",97,122,0,2015-10-28,219,0,1,66,0,1,90,0,0,186,202,0,"Oct",10.5
"1282","OklahomaCityThunder","SanAntonioSpurs",112,106,0,2015-10-28,218,1,0,138,0,1,96,0,0,251,198,0,"Oct",10.5
"1283","PhoenixSuns","DallasMavericks",95,111,0,2015-10-28,206,0,1,101,0,0,94,0,0,213,197,0,"Oct",10.5
"1284","PortlandTrailBlazers","NewOrleansPelicans",112,94,0,2015-10-28,206,0,0,93,0,0,95,0,0,192,206,0,"Oct",10.5
"1285","SacramentoKings","LosAngelesClippers",104,111,0,2015-10-28,215,1,0,122,1,0,102,0,0,221,198,0,"Oct",10.5
