"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"1","AtlantaHawks","DetroitPistons",94,106,0,2015-10-27
"2","ChicagoBulls","ClevelandCavaliers",97,95,0,2015-10-27
"3","GoldenStateWarriors","NewOrleansPelicans",111,95,0,2015-10-27
"4","OrlandoMagic","WashingtonWizards",87,88,0,2015-10-28
"5","BostonCeltics","PhiladelphiaErs",112,95,0,2015-10-28
"6","BrooklynNets","ChicagoBulls",100,115,0,2015-10-28
"7","DetroitPistons","UtahJazz",92,87,0,2015-10-28
"8","MiamiHeat","CharlotteHornets",104,94,0,2015-10-28
"9","TorontoRaptors","IndianaPacers",106,99,0,2015-10-28
"10","HoustonRockets","DenverNuggets",85,105,0,2015-10-28
"11","MemphisGrizzlies","ClevelandCavaliers",76,106,0,2015-10-28
"12","MilwaukeeBucks","NewYorkKnicks",97,122,0,2015-10-28
"13","OklahomaCityThunder","SanAntonioSpurs",112,106,0,2015-10-28
"14","PhoenixSuns","DallasMavericks",95,111,0,2015-10-28
"15","PortlandTrailBlazers","NewOrleansPelicans",112,94,0,2015-10-28
"16","SacramentoKings","LosAngelesClippers",104,111,0,2015-10-28
"17","LosAngelesLakers","MinnesotaTimberwolves",111,112,0,2015-10-28
"18","IndianaPacers","MemphisGrizzlies",103,112,0,2015-10-29
"19","NewYorkKnicks","AtlantaHawks",101,112,0,2015-10-29
"20","LosAngelesClippers","DallasMavericks",104,88,0,2015-10-29
"21","MilwaukeeBucks","WashingtonWizards",113,118,0,2015-10-30
"22","SanAntonioSpurs","BrooklynNets",102,75,0,2015-10-30
"23","DenverNuggets","MinnesotaTimberwolves",78,95,0,2015-10-30
"24","HoustonRockets","GoldenStateWarriors",92,112,0,2015-10-30
"25","SacramentoKings","LosAngelesLakers",132,114,0,2015-10-30
"26","PhoenixSuns","PortlandTrailBlazers",110,92,0,2015-10-30
"27","ClevelandCavaliers","MiamiHeat",102,92,0,2015-10-30
"28","OrlandoMagic","OklahomaCityThunder",136,139,2,2015-10-30
"29","PhiladelphiaErs","UtahJazz",71,99,0,2015-10-30
"30","BostonCeltics","TorontoRaptors",103,113,0,2015-10-30
"31","DetroitPistons","ChicagoBulls",98,94,1,2015-10-30
"32","AtlantaHawks","CharlotteHornets",97,94,0,2015-10-30
"33","IndianaPacers","UtahJazz",76,97,0,2015-10-31
"34","WashingtonWizards","NewYorkKnicks",110,117,0,2015-10-31
"35","NewOrleansPelicans","GoldenStateWarriors",120,134,0,2015-10-31
"36","MemphisGrizzlies","BrooklynNets",101,91,0,2015-10-31
"37","PortlandTrailBlazers","PhoenixSuns",90,101,0,2015-10-31
"38","LosAngelesClippers","SacramentoKings",114,109,0,2015-10-31
"39","CharlotteHornets","AtlantaHawks",92,94,0,2015-11-01
"40","BostonCeltics","SanAntonioSpurs",87,95,0,2015-11-01
"41","MiamiHeat","HoustonRockets",109,89,0,2015-11-01
"42","TorontoRaptors","MilwaukeeBucks",106,87,0,2015-11-01
"43","ChicagoBulls","OrlandoMagic",92,87,0,2015-11-01
"44","OklahomaCityThunder","DenverNuggets",117,93,0,2015-11-01
"45","LosAngelesLakers","DallasMavericks",93,103,0,2015-11-01
"46","PhiladelphiaErs","ClevelandCavaliers",100,107,0,2015-11-02
"47","BrooklynNets","MilwaukeeBucks",96,103,0,2015-11-02
"48","NewYorkKnicks","SanAntonioSpurs",84,94,0,2015-11-02
"49","HoustonRockets","OklahomaCityThunder",110,105,0,2015-11-02
"50","MinnesotaTimberwolves","PortlandTrailBlazers",101,106,0,2015-11-02
"51","GoldenStateWarriors","MemphisGrizzlies",119,69,0,2015-11-02
"52","LosAngelesClippers","PhoenixSuns",102,96,0,2015-11-02
"53","CharlotteHornets","ChicagoBulls",130,105,0,2015-11-03
"54","DetroitPistons","IndianaPacers",82,94,0,2015-11-03
"55","MiamiHeat","AtlantaHawks",92,98,0,2015-11-03
"56","NewOrleansPelicans","OrlandoMagic",94,103,0,2015-11-03
"57","DallasMavericks","TorontoRaptors",91,102,0,2015-11-03
"58","SacramentoKings","MemphisGrizzlies",89,103,0,2015-11-03
"59","LosAngelesLakers","DenverNuggets",109,120,0,2015-11-03
"60","IndianaPacers","BostonCeltics",100,98,0,2015-11-04
"61","WashingtonWizards","SanAntonioSpurs",102,99,0,2015-11-04
"62","AtlantaHawks","BrooklynNets",101,87,0,2015-11-04
"63","ClevelandCavaliers","NewYorkKnicks",96,86,0,2015-11-04
"64","HoustonRockets","OrlandoMagic",119,114,1,2015-11-04
"65","MilwaukeeBucks","PhiladelphiaErs",91,87,0,2015-11-04
"66","OklahomaCityThunder","TorontoRaptors",98,103,0,2015-11-04
"67","PhoenixSuns","SacramentoKings",118,97,0,2015-11-04
"68","UtahJazz","PortlandTrailBlazers",92,108,0,2015-11-04
"69","GoldenStateWarriors","LosAngelesClippers",112,108,0,2015-11-04
"70","ChicagoBulls","OklahomaCityThunder",104,98,0,2015-11-05
"71","MinnesotaTimberwolves","MiamiHeat",84,96,0,2015-11-05
"72","DallasMavericks","CharlotteHornets",94,108,0,2015-11-05
"73","DenverNuggets","UtahJazz",84,96,0,2015-11-05
"74","PortlandTrailBlazers","MemphisGrizzlies",115,96,0,2015-11-05
"75","OrlandoMagic","TorontoRaptors",92,87,0,2015-11-06
"76","BostonCeltics","WashingtonWizards",118,98,0,2015-11-06
"77","BrooklynNets","LosAngelesLakers",98,104,0,2015-11-06
"78","ClevelandCavaliers","PhiladelphiaErs",108,102,0,2015-11-06
"79","NewYorkKnicks","MilwaukeeBucks",92,99,0,2015-11-06
"80","IndianaPacers","MiamiHeat",90,87,0,2015-11-06
"81","NewOrleansPelicans","AtlantaHawks",115,121,0,2015-11-06
"82","PhoenixSuns","DetroitPistons",92,100,0,2015-11-06
"83","GoldenStateWarriors","DenverNuggets",119,104,0,2015-11-06
"84","SacramentoKings","HoustonRockets",110,116,0,2015-11-06
"85","ChicagoBulls","MinnesotaTimberwolves",93,102,1,2015-11-07
"86","PhiladelphiaErs","OrlandoMagic",97,105,0,2015-11-07
"87","AtlantaHawks","WashingtonWizards",114,99,0,2015-11-07
"88","DallasMavericks","NewOrleansPelicans",107,98,0,2015-11-07
"89","MilwaukeeBucks","BrooklynNets",94,86,0,2015-11-07
"90","SanAntonioSpurs","CharlotteHornets",114,94,0,2015-11-07
"91","UtahJazz","MemphisGrizzlies",89,79,0,2015-11-07
"92","SacramentoKings","GoldenStateWarriors",94,103,0,2015-11-07
"93","LosAngelesClippers","HoustonRockets",105,109,0,2015-11-07
"94","ClevelandCavaliers","IndianaPacers",101,97,0,2015-11-08
"95","NewYorkKnicks","LosAngelesLakers",99,95,0,2015-11-08
"96","MiamiHeat","TorontoRaptors",96,76,0,2015-11-08
"97","OklahomaCityThunder","PhoenixSuns",124,103,0,2015-11-08
"98","PortlandTrailBlazers","DetroitPistons",103,120,0,2015-11-08
"99","IndianaPacers","OrlandoMagic",97,84,0,2015-11-09
"100","PhiladelphiaErs","ChicagoBulls",88,111,0,2015-11-09
"101","AtlantaHawks","MinnesotaTimberwolves",107,117,0,2015-11-09
"102","DenverNuggets","PortlandTrailBlazers",108,104,0,2015-11-09
"103","SacramentoKings","SanAntonioSpurs",88,106,0,2015-11-09
"104","GoldenStateWarriors","DetroitPistons",109,95,0,2015-11-09
"105","LosAngelesClippers","MemphisGrizzlies",94,92,0,2015-11-09
"106","ClevelandCavaliers","UtahJazz",118,114,0,2015-11-10
"107","WashingtonWizards","OklahomaCityThunder",101,125,0,2015-11-10
"108","MiamiHeat","LosAngelesLakers",101,88,0,2015-11-10
"109","TorontoRaptors","NewYorkKnicks",109,111,0,2015-11-10
"110","MilwaukeeBucks","BostonCeltics",83,99,0,2015-11-10
"111","MinnesotaTimberwolves","CharlotteHornets",95,104,0,2015-11-10
"112","NewOrleansPelicans","DallasMavericks",120,105,0,2015-11-10
"113","CharlotteHornets","NewYorkKnicks",95,93,0,2015-11-11
"114","OrlandoMagic","LosAngelesLakers",101,99,0,2015-11-11
"115","PhiladelphiaErs","TorontoRaptors",103,119,0,2015-11-11
"116","BostonCeltics","IndianaPacers",91,102,0,2015-11-11
"117","AtlantaHawks","NewOrleansPelicans",106,98,0,2015-11-11
"118","DallasMavericks","LosAngelesClippers",118,108,0,2015-11-11
"119","HoustonRockets","BrooklynNets",98,106,0,2015-11-11
"120","MemphisGrizzlies","GoldenStateWarriors",84,100,0,2015-11-11
"121","DenverNuggets","MilwaukeeBucks",103,102,0,2015-11-11
"122","SacramentoKings","DetroitPistons",101,92,0,2015-11-11
"123","PortlandTrailBlazers","SanAntonioSpurs",101,113,0,2015-11-11
"124","MiamiHeat","UtahJazz",92,91,0,2015-11-12
"125","MinnesotaTimberwolves","GoldenStateWarriors",116,129,0,2015-11-12
"126","PhoenixSuns","LosAngelesClippers",118,104,0,2015-11-12
"127","IndianaPacers","MinnesotaTimberwolves",107,103,0,2015-11-13
"128","OrlandoMagic","UtahJazz",102,93,0,2015-11-13
"129","BostonCeltics","AtlantaHawks",106,93,0,2015-11-13
"130","NewYorkKnicks","ClevelandCavaliers",84,90,0,2015-11-13
"131","TorontoRaptors","NewOrleansPelicans",100,81,0,2015-11-13
"132","ChicagoBulls","CharlotteHornets",102,97,0,2015-11-13
"133","MemphisGrizzlies","PortlandTrailBlazers",101,100,0,2015-11-13
"134","OklahomaCityThunder","PhiladelphiaErs",102,85,0,2015-11-13
"135","DallasMavericks","LosAngelesLakers",90,82,0,2015-11-13
"136","DenverNuggets","HoustonRockets",107,98,0,2015-11-13
"137","SacramentoKings","BrooklynNets",111,109,0,2015-11-13
"138","LosAngelesClippers","DetroitPistons",101,96,0,2015-11-14
"139","WashingtonWizards","OrlandoMagic",108,99,0,2015-11-14
"140","HoustonRockets","DallasMavericks",98,110,0,2015-11-14
"141","MilwaukeeBucks","ClevelandCavaliers",108,105,2,2015-11-14
"142","SanAntonioSpurs","PhiladelphiaErs",92,83,0,2015-11-14
"143","PhoenixSuns","DenverNuggets",105,81,0,2015-11-14
"144","GoldenStateWarriors","BrooklynNets",107,99,1,2015-11-14
"145","NewYorkKnicks","NewOrleansPelicans",95,87,0,2015-11-15
"146","MinnesotaTimberwolves","MemphisGrizzlies",106,114,0,2015-11-15
"147","CharlotteHornets","PortlandTrailBlazers",106,94,0,2015-11-15
"148","AtlantaHawks","UtahJazz",96,97,0,2015-11-15
"149","OklahomaCityThunder","BostonCeltics",85,100,0,2015-11-15
"150","SacramentoKings","TorontoRaptors",107,101,0,2015-11-15
"151","LosAngelesLakers","DetroitPistons",97,85,0,2015-11-15
"152","PhiladelphiaErs","DallasMavericks",86,92,0,2015-11-16
"153","ChicagoBulls","IndianaPacers",96,95,0,2015-11-16
"154","HoustonRockets","BostonCeltics",95,111,0,2015-11-16
"155","MemphisGrizzlies","OklahomaCityThunder",122,114,0,2015-11-16
"156","SanAntonioSpurs","PortlandTrailBlazers",93,80,0,2015-11-16
"157","PhoenixSuns","LosAngelesLakers",120,101,0,2015-11-16
"158","WashingtonWizards","MilwaukeeBucks",115,86,0,2015-11-17
"159","BrooklynNets","AtlantaHawks",90,88,0,2015-11-17
"160","DetroitPistons","ClevelandCavaliers",104,99,0,2015-11-17
"161","MiamiHeat","MinnesotaTimberwolves",91,103,0,2015-11-17
"162","NewYorkKnicks","CharlotteHornets",102,94,0,2015-11-17
"163","NewOrleansPelicans","DenverNuggets",98,115,0,2015-11-17
