"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"100","NewYorkKnicks","AtlantaHawks",85,91,0,2014-11-10,176,0,0,96,1,1,103,0,0,199,0
"101","ChicagoBulls","DetroitPistons",102,91,0,2014-11-10,193,0,1,101,0,1,96,0,0,207,0
"102","LosAngelesClippers","SanAntonioSpurs",85,89,0,2014-11-10,174,1,1,106,0,1,99,0,0,208,0
"103","TorontoRaptors","OrlandoMagic",104,100,0,2014-11-11,204,1,1,120,0,0,96,0,0,208,0
"104","MemphisGrizzlies","LosAngelesLakers",107,102,0,2014-11-11,209,0,0,92,1,1,107,0,0,185,0
"105","MilwaukeeBucks","OklahomaCityThunder",85,78,0,2014-11-11,163,1,1,93,1,1,101,0,0,185,0
"106","DallasMavericks","SacramentoKings",106,98,0,2014-11-11,204,0,1,96,0,0,93,0,0,201,0
"107","PortlandTrailBlazers","CharlotteHornets",102,100,0,2014-11-11,202,1,1,116,0,0,92,0,0,216,0
"108","GoldenStateWarriors","SanAntonioSpurs",100,113,0,2014-11-11,213,0,0,95,1,0,89,0,0,202,0
"109","WashingtonWizards","DetroitPistons",107,103,0,2014-11-12,210,1,0,97,0,0,91,0,0,187,0
"110","AtlantaHawks","UtahJazz",100,97,0,2014-11-12,197,1,0,91,0,0,86,0,0,176,0
"111","BostonCeltics","OklahomaCityThunder",94,109,0,2014-11-12,203,1,0,106,0,0,78,0,0,207,0
"112","MiamiHeat","IndianaPacers",75,81,0,2014-11-12,156,1,0,105,1,1,97,0,0,201,0
"113","NewYorkKnicks","OrlandoMagic",95,97,0,2014-11-12,192,0,1,85,0,0,100,0,0,176,0
"114","NewOrleansPelicans","LosAngelesLakers",109,102,0,2014-11-12,211,0,0,111,0,0,102,0,0,229,0
"115","DenverNuggets","PortlandTrailBlazers",113,130,0,2014-11-12,243,0,0,100,1,1,102,0,0,216,0
"116","PhoenixSuns","BrooklynNets",112,104,0,2014-11-12,216,1,1,107,1,1,104,0,0,202,0
"117","MinnesotaTimberwolves","HoustonRockets",101,113,0,2014-11-12,214,0,0,92,0,1,87,0,0,194,0
"118","MemphisGrizzlies","SacramentoKings",111,110,0,2014-11-13,221,1,1,107,0,0,98,0,0,209,0
"119","TorontoRaptors","ChicagoBulls",93,100,0,2014-11-13,193,1,1,104,1,1,102,0,0,204,0
"120","DallasMavericks","PhiladelphiaErs",123,70,0,2014-11-13,193,1,1,106,0,0,88,0,0,204,0
"121","GoldenStateWarriors","BrooklynNets",107,99,0,2014-11-13,206,0,1,100,0,0,104,0,0,213,0
"122","IndianaPacers","DenverNuggets",87,108,0,2014-11-14,195,1,0,81,0,1,113,0,0,156,0
"123","OrlandoMagic","MilwaukeeBucks",101,85,0,2014-11-14,186,1,0,97,1,1,85,0,0,192,0
"124","AtlantaHawks","MiamiHeat",114,103,0,2014-11-14,217,1,1,100,0,1,75,0,0,197,0
"125","BostonCeltics","ClevelandCavaliers",121,122,0,2014-11-14,243,0,1,94,1,1,118,0,0,203,0
"126","NewYorkKnicks","UtahJazz",100,102,0,2014-11-14,202,0,1,95,0,0,97,0,0,192,0
"127","HoustonRockets","PhiladelphiaErs",88,87,0,2014-11-14,175,1,0,113,0,0,70,0,0,214,0
"128","NewOrleansPelicans","MinnesotaTimberwolves",139,91,0,2014-11-14,230,1,1,109,0,1,101,0,0,211,0
"129","OklahomaCityThunder","DetroitPistons",89,96,1,2014-11-14,185,1,0,109,0,0,103,0,0,203,0
"130","PhoenixSuns","CharlotteHornets",95,103,0,2014-11-14,198,1,1,112,0,0,100,0,0,216,0
"131","LosAngelesLakers","SanAntonioSpurs",80,93,0,2014-11-14,173,0,0,102,1,0,113,0,0,211,0
"132","WashingtonWizards","OrlandoMagic",98,93,0,2014-11-15,191,1,1,107,1,1,101,0,0,210,0
"133","ClevelandCavaliers","AtlantaHawks",127,94,0,2014-11-15,221,1,0,122,1,1,114,0,0,243,0
"134","TorontoRaptors","UtahJazz",111,93,0,2014-11-15,204,0,1,93,1,0,102,0,0,193,0
"135","ChicagoBulls","IndianaPacers",90,99,0,2014-11-15,189,1,0,100,0,1,87,0,0,193,0
"136","MemphisGrizzlies","DetroitPistons",95,88,0,2014-11-15,183,1,1,111,1,0,96,0,1,221,0
"137","DallasMavericks","MinnesotaTimberwolves",131,117,0,2014-11-15,248,1,1,123,0,0,91,0,0,193,0
"138","PortlandTrailBlazers","BrooklynNets",97,87,0,2014-11-15,184,1,0,130,0,0,99,0,0,243,0
"139","SacramentoKings","SanAntonioSpurs",94,91,0,2014-11-15,185,0,0,110,1,0,93,0,0,221,0
